ar,sveitarfelag,hluti,heildarskuldir,eignir,tekjur,skatttekjur_an_jofnundarsjóðs,framlag_jofnunarsjods,gjold,afskriftir,fjarmagnslidir,eigid_fe,veltufjarmunir,skammtimakrofur_eigin_fyrirtaeki,handbaert_fe,skammtimaskuldir,fjarfestingarhreyfingar,nyjar_langtimaskuldir,launagjold,veltufe,mannfjoldi,nettoskuldir,skuldir_hlutf_tekjur,nettoskuldir_hlutf_tekjur,veltufjarhlutfall,eignahlutf,rekstrarnidurstada,rekstrarnidurstada_hlutf,framlegd,framlegd_hlutf,eiginfjarhlutfall,skuldahlutfall,skuldir_per_ibui,veltufe_hlutf_tekjur,handbaert_fe_per_ibui,hlutf_jofnunarsjods_tekjum,hlutf_jofnunarsjods_skottum,jofnunarsjodur_a_ibua,skattur_a_ibua,utgjold_jofnunarsjod,netto_jofnunarsjod,netto_jofnunarsjod_per_ibui,nyjar_fjarfestinga_skulda_hreyfingar,nyjar_fjarfestinga_skulda_hreyfingar_hlutf_skuldir,launagjold_per_ibui,launagjold_hlutf_gjold,visitala_2021,hlutf_jofnunarsjod_utgjold,skuldaaukning_2021,skuldaaukning,skuldaaukning_hlutf_tekjur,rekstrarnidurstada_kjortimabil,framlegd_kjortimabil,tekjur_kjortimabil,rekstur_3_ar_hlutf_tekjur,rekstrarnidurstada_hlutf_kjortimabil,rekstrarnidurstada_per_ibui_kjortimabil,framlegd_hlutf_kjortimabil,framlegd_per_ibui_kjortimabil
2002,Akraneskaupstaður,A og B-hluti,2113973000,5327642000,1686771000,1186520000,133846000,1704981000,137307000,74672000,3213669000,269970000,0,78336000,352092000,-166579000,82820000,942959000,227843000,5510,1844003000,1.253266151718283,1.093214787306635,0.7667598241368733,2.520203427385307,56462000,0.03347342348190715,193769000,0.11487570037663677,0.6032066343797124,0.39679336562028755,383661.16152450093,0.1350764270905772,14217.059891107077,0.07935042753284234,0.10137037760742097,24291.47005444646,215339.3829401089,29687169.6,104158830.4,18903.598983666063,-83759000,-0.03962160349257062,171135.93466424683,0.5530612951112065,0.4520408163265306,0.004369357382267082,NA,0.3278127045948019,NA,1344391399.999999,2025147599.999999,23841349600,NA,0.05638906448483936,181641.7852639163,0.08494265777638692,273619.29382093303
2002,Akraneskaupstaður,A-hluti,2019778000,4835151000,1564050000,1189616000,133846000,1564466000,79922000,88686000,2815373000,273168000,1728000,77114000,358267000,-134678000,82820000,903735000,194708000,5510,1748338000,1.2913768741408522,1.1178274351842972,0.7624704480178192,2.393902201132996,88270000,0.0564368146798376,168192000,0.10753620408554714,0.5822719910919018,0.41772800890809825,366565.88021778583,0.12448962629071961,13995.281306715064,0.08557654806432019,0.10113323994190992,24291.47005444646,215901.27041742287,27527280,106318720,19295.59346642468,-51858000,-0.025675098946517885,164017.24137931035,0.5776635606015088,0.4520408163265306,0.004051464848361057,NA,0.33591405775230165,NA,1397494899.999999,1998232499.999999,20960346300,NA,0.06667327342773907,188816.64114573938,0.09533394493582384,269982.7733741667
2002,Akureyrarkaupstaður,A og B-hluti,11032465000,18032148000,7762008000,3319285000,425569000,8006326000,880330000,215213000,6999680000,1834671000,0,735067000,1739877000,-1538865000,573141000,4093561000,1105275000,15947,9197794000,1.421341616756901,1.1849761041215108,1.0544831617407437,1.634462289252674,-29105000,-0.0037496740534150442,851225000,0.10966556592057107,0.3881778255147418,0.6118221744852582,691820.7186304635,0.14239549869054502,46094.37511757697,0.05482717874034657,0.11364101244000434,26686.46140339876,208144.79212391045,136611340.8,288957659.2,18119.87578854957,-965724000,-0.0875347440485875,256697.87420831504,0.5112908217826754,0.4520408163265306,0.02010645603701756,NA,0.30529180787062904,NA,-1684398000,7396234000,108835648000,NA,-0.015476528425686408,-88703.88119437569,0.06795782573004022,389500.97424824897
2002,Akureyrarkaupstaður,A-hluti,6507833000,11252361000,5374957000,3340434000,425569000,5644776000,232752000,209288000,4744527000,1156389000,275615000,61620000,1521952000,-1141146000,150000000,3115193000,528262000,15947,5627059000,1.2107693140614892,1.0469030728990019,0.7598064853556485,1.7290488247009412,-60531000,-0.011261671488720747,172221000,0.03204137261005065,0.4216472436318031,0.5783527563681969,408091.3651470496,0.09828208858229005,3864.049664513702,0.07917626131706729,0.11300283085276353,26686.46140339876,209470.99767981438,94599243.2,330969756.8,20754.35861290525,-991146000,-0.15230046622278107,195346.64827240232,0.5518718546138943,0.4520408163265306,0.013923115851125094,NA,0.2611714667586168,NA,-2633304000,2154932000,82435771000,NA,-0.03194370560323867,-138675.23302964875,0.02614073931570313,113483.17446942966
2002,Árneshreppur,A og B-hluti,1793000,62102000,25667000,10490000,8129000,24491000,1343000,2306000,60307000,30813000,0,28611000,1552000,NA,NA,10332000,4850000,59,-29020000,0.06985623563330347,-1.1306346670822456,19.85373711340206,34.63580591187953,3482000,0.13566057583667746,4825000,0.1879845716289399,0.9710959389391646,0.02890406106083543,30389.830508474577,0.18895858495344217,484932.2033898305,0.3167101725951611,0.4365970245448198,137779.66101694916,177796.61016949153,451739.2,7677260.8,130123.06440677965,NA,NA,175118.64406779662,0.42186925809481035,0.4520408163265306,6.648697181220757e-5,NA,0.16992039423805913,NA,14267000,19998000,171732000,NA,0.08307712016397643,339690.4761904762,0.1164488854727133,476142.85714285716
2002,Árneshreppur,A-hluti,1793000,61558000,24113000,10490000,8129000,23717000,1097000,2306000,59764000,36179000,5366000,28611000,1552000,NA,NA,10276000,3825000,59,-29020000,0.07435823000041471,-1.2035001866213246,23.311211340206185,34.33240379252649,2702000,0.11205573756894621,3799000,0.1575498693650728,0.9708567529809286,0.02914324701907145,30389.830508474577,0.158628125907187,484932.2033898305,0.3371210550325551,0.4365970245448198,137779.66101694916,177796.61016949153,424388.80000000005,7704611.2,130586.63050847458,NA,NA,174169.49152542374,0.43327570940675464,0.4520408163265306,6.246154016081978e-5,NA,0.1699364989100559,NA,15461000,17759000,155406000,NA,0.09948779326409533,368119.04761904763,0.11427486712224753,422833.3333333333
2002,Ásahreppur,A og B-hluti,101619000,276843000,69273000,46067000,17459000,48323000,3798000,1226000,175224000,39024000,0,75000,78648000,-64774000,23083000,7457000,23379000,143,62595000,1.4669351695465767,0.9035988047291152,0.4961855355508087,2.7243232072742303,22176000,0.3201247239184098,25974000,0.3749512797193712,0.6329363574300235,0.3670636425699765,710622.3776223776,0.33749079728032566,524.4755244755245,0.2520318161477055,0.2748323521077984,122090.90909090909,322146.85314685316,1219204.8,16239795.2,113565.0013986014,-41691000,-0.41026776488648775,52146.853146853144,0.1543157502638495,0.4520408163265306,1.7944255262972123e-4,NA,1.4431647115630415,NA,123156000,168078000,1057298000,NA,0.11648182442414533,495265.4155495979,0.1589693728731162,675916.890080429
2002,Ásahreppur,A-hluti,56914000,231175000,67461000,46095000,17459000,49352000,2425000,3104000,174261000,16834000,271000,75000,56914000,-51256000,NA,7457000,20530000,143,40351000,0.8436578171091446,0.5981381835430841,0.295779597287135,4.0618301296693256,21213000,0.31444834793436205,23638000,0.35039504306191727,0.7538055585595328,0.2461944414404672,398000,0.30432397978091047,524.4755244755245,0.25880138153896326,0.2747112691569374,122090.90909090909,322342.65734265733,1187313.6,16271686.4,113788.01678321678,NA,NA,52146.853146853144,0.15109823310098883,0.4520408163265306,1.7474880607096018e-4,NA,1.2953252310073284,NA,110295000,140921000,1042099000,NA,0.10583927246835473,443545.5764075067,0.1352280349563717,566706.4343163539
2002,Bláskógabyggð,A og B-hluti,415657000,664967000,374058000,192821000,97688000,381169000,27195000,-27297000,249312000,82735000,0,7817000,124630000,-16950000,40888000,172418000,-615000,885,332922000,1.1112100262526132,0.8900277497072646,0.6638449811441868,1.5997974291302686,-34408000,-0.09198573483256607,-7213000,-0.01928310582850788,0.37492386840249214,0.6250761315975079,469668.9265536723,-0.0016441300546973998,8832.76836158192,0.26115736062321887,0.33626496941574957,110381.9209039548,217876.83615819208,6583420.800000001,91104579.2,102943.02734463278,23938000,0.05759075391488655,194822.5988700565,0.45234003814580936,0.4520408163265306,9.689478202411946e-4,NA,0.30095799547176805,NA,250349000,432081000,4633666000,NA,0.05402827912067896,220961.16504854368,0.0932481969999564,381360.10591350397
2002,Bláskógabyggð,A-hluti,256069000,486261000,345810000,192821000,97688000,346817000,9234000,-8082000,230192000,84482000,7770000,7725000,113918000,-4805000,14000000,168189000,2300000,885,179357000,0.740490442728666,0.5186576443711864,0.7416036096139328,1.8989452061748981,-9089000,-0.026283219108759144,145000,4.193053989184812e-4,0.4733918615722832,0.5266081384277168,289343.50282485876,0.006651051155258668,8728.813559322034,0.2824903848934386,0.33626496941574957,110381.9209039548,217876.83615819208,6086256,91601744,103504.79548022599,9195000,0.035908290343618324,190044.06779661018,0.48495027637053545,0.4520408163265306,8.957751089873963e-4,NA,0.18125198633331893,NA,140829000,230491000,4093892000,NA,0.03439978387314565,124297.44042365401,0.05630119211742762,203434.2453662842
